,density,humidity,Run,AvBurnedOutClusteresSize,AvFineClusteresSize,BurnedOut,Fine,NumberBurnedOutClusteres,NumberFineClusteres,height,width
0,0.73,0.41,0,3538.0,2.2,7076,225,2,101,100,100
1,0.73,0.41,1,7141.0,1.4,7141,160,1,117,100,100
2,0.73,0.41,2,7189.0,1.6,7189,151,1,92,100,100
3,0.73,0.41,3,3574.5,1.5,7149,171,2,114,100,100
4,0.73,0.41,4,7175.0,1.5,7175,161,1,106,100,100
5,0.73,0.41,5,7155.0,1.4,7155,140,1,98,100,100
6,0.73,0.41,6,3597.0,1.4,7194,146,2,101,100,100
7,0.73,0.41,7,7235.0,1.5,7235,134,1,91,100,100
8,0.73,0.41,8,7138.0,1.6,7138,183,1,115,100,100
9,0.73,0.41,9,7146.0,1.8,7146,161,1,90,100,100
10,0.73,0.41,10,7021.0,1.8,7021,214,1,117,100,100
11,0.73,0.41,11,7117.0,1.3,7117,169,1,127,100,100
12,0.73,0.41,12,3585.0,1.3,7170,133,2,99,100,100
13,0.73,0.41,13,7086.0,1.9,7086,188,1,97,100,100
14,0.73,0.41,14,2327.0,2.6,6981,307,3,118,100,100
15,0.73,0.41,15,7121.0,1.5,7121,176,1,118,100,100
16,0.73,0.41,16,7085.0,1.3,7085,161,1,124,100,100
17,0.73,0.41,17,7098.0,1.4,7098,144,1,105,100,100
18,0.73,0.41,18,7169.0,1.8,7169,170,1,95,100,100
19,0.73,0.41,19,7172.0,1.5,7172,160,1,108,100,100
20,0.73,0.41,20,7068.0,1.6,7068,185,1,117,100,100
21,0.73,0.41,21,7152.0,1.5,7152,150,1,97,100,100
22,0.73,0.41,22,7174.0,1.4,7174,161,1,112,100,100
23,0.73,0.41,23,3584.5,1.4,7169,147,2,108,100,100
24,0.73,0.41,24,7092.0,1.6,7092,163,1,104,100,100
