,Fine,On Fire,Burned Out
0,7253,76,0
1,7105,93,131
2,6944,82,303
3,6781,97,451
4,6608,103,618
5,6479,76,774
6,6351,81,897
7,6152,102,1075
8,5978,102,1249
9,5816,89,1424
10,5675,78,1576
11,5474,99,1756
12,5314,92,1923
13,5177,84,2068
14,5030,86,2213
15,4855,103,2371
16,4686,102,2541
17,4489,104,2736
18,4302,110,2917
19,4133,101,3095
20,4026,75,3228
21,3847,97,3385
22,3650,114,3565
23,3434,118,3777
24,3214,120,3995
25,3009,118,4202
26,2792,125,4412
27,2583,116,4630
28,2384,115,4830
29,2207,91,5031
30,2068,71,5190
31,1890,85,5354
32,1691,94,5544
33,1526,102,5701
34,1382,75,5872
35,1251,73,6005
36,1101,70,6158
37,930,85,6314
38,821,56,6452
39,739,42,6548
40,669,39,6621
41,619,31,6679
42,561,31,6737
43,515,32,6782
44,471,24,6834
45,417,30,6882
46,386,17,6926
47,340,22,6967
48,301,22,7006
49,282,11,7036
50,279,2,7048
51,279,0,7050
